Date,Open,High,Low,Close,Adj Close,Volume
"Jun 26, 2025","8,525.00","8,650.00","8,525.00","8,650.00","8,650.00","117,281,700"
"Jun 25, 2025","8,725.00","8,775.00","8,475.00","8,600.00","8,600.00","117,561,000"
"Jun 24, 2025","8,725.00","8,850.00","8,700.00","8,775.00","8,775.00","110,158,900"
"Jun 23, 2025","8,575.00","8,700.00","8,500.00","8,625.00","8,625.00","87,324,500"
"Jun 20, 2025","8,700.00","8,875.00","8,625.00","8,700.00","8,700.00","445,915,100"
"Jun 19, 2025","8,900.00","8,925.00","8,750.00","8,775.00","8,775.00","78,879,500"
"Jun 18, 2025","8,950.00","9,025.00","8,900.00","8,900.00","8,900.00","86,270,200"
"Jun 17, 2025","8,975.00","9,100.00","8,975.00","9,075.00","9,075.00","54,927,900"
"Jun 16, 2025","8,925.00","9,000.00","8,900.00","8,925.00","8,925.00","57,825,000"
"Jun 13, 2025","9,100.00","9,125.00","8,975.00","9,025.00","9,025.00","83,318,000"
"Jun 12, 2025","9,000.00","9,125.00","9,000.00","9,125.00","9,125.00","41,337,300"
"Jun 11, 2025","9,100.00","9,125.00","9,050.00","9,050.00","9,050.00","56,632,600"
"Jun 10, 2025","8,975.00","9,100.00","8,950.00","9,100.00","9,100.00","80,406,400"
"Jun 5, 2025","9,000.00","9,050.00","8,900.00","8,925.00","8,925.00","95,529,000"
"Jun 4, 2025","9,100.00","9,125.00","8,950.00","8,975.00","8,975.00","93,357,200"
"Jun 3, 2025","9,050.00","9,125.00","8,950.00","9,050.00","9,050.00","128,318,100"
"Jun 2, 2025","9,025.00","9,175.00","9,025.00","9,100.00","9,100.00","264,428,700"
"May 28, 2025","9,450.00","9,550.00","9,400.00","9,400.00","9,400.00","236,950,800"
"May 27, 2025","9,550.00","9,600.00","9,450.00","9,450.00","9,450.00","93,212,000"
"May 26, 2025","9,600.00","9,650.00","9,500.00","9,625.00","9,625.00","56,625,300"
"May 23, 2025","9,675.00","9,700.00","9,625.00","9,675.00","9,675.00","48,521,800"
"May 22, 2025","9,800.00","9,800.00","9,650.00","9,650.00","9,650.00","103,113,000"
"May 21, 2025","9,700.00","9,725.00","9,550.00","9,700.00","9,700.00","169,739,200"
"May 20, 2025","9,500.00","9,675.00","9,475.00","9,475.00","9,475.00","160,614,800"
"May 19, 2025","9,275.00","9,500.00","9,250.00","9,500.00","9,500.00","111,597,200"
